Season,MatchDate,HomeTeam,AwayTeam,FullTimeResult,home_win_rate_5,home_draw_rate_5,home_loss_rate_5,home_goals_scored_avg_5,home_goals_conceded_avg_5,home_goal_diff_avg_5,home_points_per_game_5,home_win_rate_10,home_draw_rate_10,home_loss_rate_10,home_goals_scored_avg_10,home_goals_conceded_avg_10,home_goal_diff_avg_10,home_points_per_game_10,home_venue_win_rate_5,home_venue_draw_rate_5,home_venue_loss_rate_5,home_venue_goals_scored_avg_5,home_venue_goals_conceded_avg_5,home_venue_goal_diff_avg_5,home_venue_points_per_game_5,home_venue_win_rate_10,home_venue_draw_rate_10,home_venue_loss_rate_10,home_venue_goals_scored_avg_10,home_venue_goals_conceded_avg_10,home_venue_goal_diff_avg_10,home_venue_points_per_game_10,away_win_rate_5,away_draw_rate_5,away_loss_rate_5,away_goals_scored_avg_5,away_goals_conceded_avg_5,away_goal_diff_avg_5,away_points_per_game_5,away_win_rate_10,away_draw_rate_10,away_loss_rate_10,away_goals_scored_avg_10,away_goals_conceded_avg_10,away_goal_diff_avg_10,away_points_per_game_10,away_venue_win_rate_5,away_venue_draw_rate_5,away_venue_loss_rate_5,away_venue_goals_scored_avg_5,away_venue_goals_conceded_avg_5,away_venue_goal_diff_avg_5,away_venue_points_per_game_5,away_venue_win_rate_10,away_venue_draw_rate_10,away_venue_loss_rate_10,away_venue_goals_scored_avg_10,away_venue_goals_conceded_avg_10,away_venue_goal_diff_avg_10,away_venue_points_per_game_10,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_matches,home_elo,away_elo,elo_diff,elo_exp_home,target
2000/01,2000-12-22,Coventry,Southampton,D,0.2,0.2,0.6,0.6,1.0,-0.4,0.8,0.2,0.1,0.7,0.8,1.9,-1.1,0.7,0.4,0.2,0.4,1.0,1.0,0.0,1.4,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.6666666666666666,1.4444444444444444,-0.7777777777777778,0.8888888888888888,0.4,0.0,0.6,1.2,1.4,-0.2,1.2,0.3,0.2,0.5,1.2,1.9,-0.7,1.1,0.0,0.4,0.6,0.8,2.4,-1.6,0.4,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.8888888888888888,1.7777777777777777,-0.8888888888888888,0.7777777777777778,1.0,0.0,0.0,1,1417.585283511887,1472.611149812649,-55.02586630076212,0.5643638828350197,1
2000/01,2000-12-23,Sunderland,Man City,H,0.8,0.0,0.2,1.2,0.6,0.6,2.4,0.6,0.2,0.2,1.1,0.7,0.4,2.0,0.8,0.2,0.0,1.4,0.4,1.0,2.6,0.6666666666666666,0.3333333333333333,0.0,1.2222222222222223,0.4444444444444444,0.7777777777777778,2.3333333333333335,0.2,0.2,0.6,2.0,1.6,0.4,0.8,0.3,0.1,0.6,1.5,1.8,-0.3,1.0,0.2,0.2,0.6,1.2,2.6,-1.4,0.8,0.2222222222222222,0.2222222222222222,0.5555555555555556,1.1111111111111112,2.3333333333333335,-1.2222222222222223,0.8888888888888888,0.0,0.0,1.0,1,1541.3590687144288,1447.1882486645911,94.17082004983763,0.7535687285492707,0
2000/01,2000-12-23,Man United,Ipswich,H,0.6,0.2,0.2,1.8,0.8,1.0,2.0,0.8,0.1,0.1,2.4,0.6,1.8,2.5,0.8,0.0,0.2,2.4,0.4,2.0,2.4,0.7777777777777778,0.1111111111111111,0.1111111111111111,2.888888888888889,0.5555555555555556,2.3333333333333335,2.4444444444444446,0.8,0.0,0.2,1.6,0.8,0.8,2.4,0.7,0.1,0.2,1.6,0.8,0.8,2.2,0.8,0.0,0.2,1.6,0.8,0.8,2.4,0.6666666666666666,0.0,0.3333333333333333,1.6666666666666667,1.1111111111111112,0.5555555555555556,2.0,0.0,1.0,0.0,1,1604.7047900007644,1563.2465455053893,41.458244495375084,0.6930248617418647,0
2000/01,2000-12-23,Tottenham,Middlesbrough,D,0.4,0.4,0.2,1.8,1.4,0.4,1.6,0.4,0.2,0.4,1.5,1.6,-0.1,1.4,0.8,0.2,0.0,2.2,0.8,1.4,2.6,0.7777777777777778,0.2222222222222222,0.0,2.0,0.7777777777777778,1.2222222222222223,2.5555555555555554,0.2,0.2,0.6,0.6,1.4,-0.8,0.8,0.1,0.1,0.8,0.6,1.6,-1.0,0.4,0.0,0.0,1.0,0.4,1.4,-1.0,0.0,0.2222222222222222,0.2222222222222222,0.5555555555555556,1.3333333333333333,1.4444444444444444,-0.1111111111111111,0.8888888888888888,0.0,1.0,0.0,1,1503.9006691630484,1420.3961030168293,83.50456614621908,0.7419899567600874,1
2000/01,2000-12-23,Liverpool,Arsenal,H,0.4,0.0,0.6,1.2,1.0,0.2,1.2,0.6,0.0,0.4,2.1,1.1,1.0,1.8,0.8,0.0,0.2,2.2,0.6,1.6,2.4,0.7777777777777778,0.1111111111111111,0.1111111111111111,2.111111111111111,0.7777777777777778,1.3333333333333333,2.4444444444444446,0.4,0.2,0.4,1.4,0.8,0.6,1.4,0.6,0.2,0.2,1.6,0.5,1.1,2.0,0.4,0.2,0.4,0.8,1.0,-0.2,1.4,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.8888888888888888,1.1111111111111112,-0.2222222222222222,1.1111111111111112,0.0,0.0,1.0,1,1530.9072711657072,1575.1294879963134,-44.22221683060616,0.5795880990880862,0
2000/01,2000-12-23,Charlton,Everton,H,0.2,0.2,0.6,1.2,2.0,-0.8,0.8,0.3,0.1,0.6,1.1,1.7,-0.6,1.0,0.6,0.2,0.2,1.6,0.8,0.8,2.0,0.5555555555555556,0.3333333333333333,0.1111111111111111,1.7777777777777777,0.7777777777777778,1.0,2.0,0.4,0.2,0.4,1.0,1.8,-0.8,1.4,0.4,0.2,0.4,0.9,1.4,-0.5,1.4,0.4,0.0,0.6,0.6,2.0,-1.4,1.2,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.8888888888888888,1.8888888888888888,-1.0,1.1111111111111112,0.0,0.0,1.0,1,1473.2149045370911,1482.3542046827447,-9.139300145653579,0.6278574645095552,0
2000/01,2000-12-23,Chelsea,Bradford,H,0.4,0.0,0.6,1.4,1.4,0.0,1.2,0.4,0.1,0.5,1.9,1.3,0.6,1.3,0.8,0.2,0.0,3.2,0.8,2.4,2.6,0.6666666666666666,0.2222222222222222,0.1111111111111111,2.7777777777777777,1.1111111111111112,1.6666666666666667,2.2222222222222223,0.2,0.4,0.4,1.6,2.0,-0.4,1.0,0.1,0.3,0.6,0.9,1.8,-0.9,0.6,0.0,0.2,0.8,0.6,2.0,-1.4,0.2,0.0,0.2222222222222222,0.7777777777777778,0.4444444444444444,2.2222222222222223,-1.7777777777777777,0.2222222222222222,0.0,0.0,1.0,1,1480.442169738009,1401.4723659229496,78.96980381505932,0.7369610663937992,0
2000/01,2000-12-23,Leicester,West Ham,H,0.6,0.0,0.4,1.8,1.2,0.6,1.8,0.5,0.1,0.4,1.3,1.2,0.1,1.6,0.6,0.2,0.2,1.8,1.4,0.4,2.0,0.5555555555555556,0.3333333333333333,0.1111111111111111,1.4444444444444444,1.0,0.4444444444444444,2.0,0.6,0.4,0.0,1.4,0.8,0.6,2.2,0.5,0.4,0.1,1.4,0.8,0.6,1.9,0.4,0.6,0.0,1.2,0.8,0.4,1.8,0.3333333333333333,0.4444444444444444,0.2222222222222222,1.3333333333333333,1.1111111111111112,0.2222222222222222,1.4444444444444444,1.0,0.0,0.0,1,1544.9922446902117,1537.527895588477,7.464349101734797,0.6499033773874119,0
2000/01,2000-12-23,Derby,Newcastle,H,0.6,0.0,0.4,1.0,1.4,-0.4,1.8,0.3,0.2,0.5,0.7,1.6,-0.9,1.1,0.4,0.2,0.4,0.6,1.4,-0.8,1.4,0.2222222222222222,0.5555555555555556,0.2222222222222222,1.2222222222222223,1.6666666666666667,-0.4444444444444444,1.2222222222222223,0.4,0.2,0.4,1.2,2.0,-0.8,1.4,0.4,0.2,0.4,1.2,1.5,-0.3,1.4,0.2,0.4,0.4,1.0,1.8,-0.8,1.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.8888888888888888,1.4444444444444444,-0.5555555555555556,1.2222222222222223,0.0,0.0,1.0,1,1452.4546794441853,1511.4768396090674,-59.02216016488205,0.5586999180648232,0
2000/01,2000-12-30,Southampton,Derby,H,0.4,0.2,0.4,1.0,1.0,0.0,1.4,0.4,0.2,0.4,1.4,1.7,-0.3,1.4,0.8,0.0,0.2,2.0,1.0,1.0,2.4,0.5,0.1,0.4,1.7,1.5,0.2,1.6,0.6,0.2,0.2,1.0,0.8,0.2,2.0,0.4,0.3,0.3,0.8,0.9,-0.1,1.5,0.2,0.4,0.4,0.6,1.2,-0.6,1.0,0.1,0.3,0.6,1.0,2.0,-1.0,0.6,0.0,1.0,0.0,1,1487.1154160061178,1469.8773724931934,17.238043512924378,0.6625942116526835,0
